"File","Issue","Detail"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\gopd\test\index.js","DANGEROUS REQUIRE","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\gopd\package.json","CONSOLE LOG","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\has-symbols\test\shams\core-js.js","DANGEROUS REQUIRE","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\has-symbols\test\shams\get-own-property-symbols.js","DANGEROUS REQUIRE","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\has-symbols\test\index.js","DANGEROUS REQUIRE","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\has-symbols\package.json","CONSOLE LOG","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\hasown\package.json","CONSOLE LOG","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\iconv-lite\lib\index.js","DANGEROUS REQUIRE","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\math-intrinsics\test\index.js","DANGEROUS REQUIRE","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\math-intrinsics\package.json","CONSOLE LOG","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\mime\src\build.js","CONSOLE LOG","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\mime\src\test.js","CONSOLE LOG","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\mime\src\test.js","DANGEROUS REQUIRE","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\mime-db\db.json","HARDCODED PORT","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\object-inspect\example\all.js","CONSOLE LOG","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\object-inspect\example\all.js","DANGEROUS REQUIRE","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\object-inspect\example\circular.js","CONSOLE LOG","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\object-inspect\example\circular.js","DANGEROUS REQUIRE","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\object-inspect\example\fn.js","CONSOLE LOG","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\object-inspect\example\fn.js","DANGEROUS REQUIRE","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\object-inspect\example\inspect.js","CONSOLE LOG","Match found"
